opeid,unitid,school_name,inst_name,state,state_abbr,sector,sector_label,closed_date,closed_year,first_ipeds_year,last_ipeds_year,last_enroll,city,zip,country
02510000,,JAMES M FRAZIER SR VOCATIONAL TECHNICAL SCHOOL (CLOSED)               ,,LA        ,,,Unknown,1989-07-01,1989,,,,BATON ROUGE              ,70802     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02264500,,ACADEMY FOR MYOTHERAPHY & PHYSICAL FITNESS                            ,,MA        ,,,Unknown,1989-06-09,1989,,,,LENOX                    ,01240     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00223200,,CENTRAL NEW ENGLAND COLLEGE                                           ,,MA        ,,,Unknown,1989-04-01,1989,,,,WORCESTER                ,01610     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02072300,,CHAMBERLAIN SCHOOL OF RETAILING                                       ,,MA        ,,,Unknown,1989-11-08,1989,,,,BOSTON                   ,02116     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00733400,,HENRY O PEABODY SCHOOL                                                ,,MA        ,,,Unknown,1989-08-31,1989,,,,NORWOOD                  ,02062     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00633200,,LEOMINSTER HOSPITAL SCHOOL OF NURSING(CLOSED)                         ,,MA        ,,,Unknown,1989-05-25,1989,,,,LEOMINSTER               ,01453     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00967600,,M FAZIO INSTITUTE OF BEAUTY CULTURE                                   ,,MA        ,,,Unknown,1989-07-31,1989,,,,LAWRENCE                 ,01840     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00633500,,MALDEN HOSPITAL SCHOOL OF NURSING                                     ,,MA        ,,,Unknown,1989-05-19,1989,,,,MALDEN                   ,02148     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00634200,,NEW ENGLAND DEACONESS HOSPITAL SCHOOL OF NURSING                      ,,MA        ,,,Unknown,1989-05-31,1989,,,,BOSTON                   ,02215     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02171800,,SABINA'S BEAUTY ACADEMY                                               ,,MA        ,,,Unknown,1989-07-31,1989,,,,BOSTON                   ,02116     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02344700,,TERRY MARTENS SCHOOL OF TRAVEL                                        ,,MA        ,,,Unknown,1989-08-30,1989,,,,NEW BEDFORD              ,02740     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01185700,,UNITED TECHNICAL SCHOOL                                               ,,MA        ,,,Unknown,1989-06-30,1989,,,,WEST SPRINGFIELD         ,01089     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00959900,,WILFRED ACADEMY                                                       ,,MA        ,,,Unknown,1989-08-31,1989,,,,BOSTON                   ,02108     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00635600,,WORCESTER HANNENMANN HOSPITAL SCHOOL OF NURSING                       ,,MA        ,,,Unknown,1989-05-31,1989,,,,WORCESTER                ,01605     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00733800,,PROFESSIONAL INSTITUTE OF COMMERCIAL ART                              ,,MD        ,,,Unknown,1989-07-30,1989,,,,BALTIMORE                ,21215     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00842700,,D'LOR BEAUTY SCHOOL                                                   ,,ME        ,,,Unknown,1989-11-01,1989,,,,BREWER                   ,04412     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00577200,,KENNEBEC VALLEY MEDICAL HOSPITAL SCHOOL OF RADIOLOGY TECHNOLOGY       ,,ME        ,,,Unknown,1989-08-01,1989,,,,AUGUSTA                  ,04330     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02069800,,MANSFIELD BEAUTY ACADEMY OF MAINE                                     ,,ME        ,,,Unknown,1989-09-01,1989,,,,LEWISTON                 ,04240     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01217100,,MANSFIELD BEAUTY ACADEMY OF MAINE                                     ,,ME        ,,,Unknown,1989-09-08,1989,,,,BANGOR                   ,04401     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00467500,,DETROIT ENGINEERING INSTITUTE                                         ,,MI        ,,,Unknown,1989-03-23,1989,,,,DETROIT                  ,48226     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02305400,,EDWARD W SPARROW HOSPITAL SCHOOL OF MEDICAL TECHLGY                   ,,MI        ,,,Unknown,1989-06-30,1989,,,,LANSING                  ,48909     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00234400,,COLLEGE OF SAINT TERESA                                               ,,MN        ,,,Unknown,1989-05-13,1989,,,,WINONA                   ,55987     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00234900,,CROSIER SEMINARY                                                      ,,MN        ,,,Unknown,1989-05-31,1989,,,,ONAMIA                   ,56359     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00712300,,GOLDEN VALLEY LUTHERAN COLLEGE                                        ,,MN        ,,,Unknown,1989-05-31,1989,,,,MINNEAPOLIS              ,55422     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02315100,,LYNNS INSTITUTE OF COSMETOLOGY                                        ,,MN        ,,,Unknown,1989-12-31,1989,,,,ST PAUL                  ,55101     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02226300,,ACADEMY OF BEAUTY                                                     ,,MO        ,,,Unknown,1989-03-23,1989,,,,KANSAS CITY              ,64114     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02333500,,AMERICAN BUSINESS COLLEGE                                             ,,MO        ,,,Unknown,1989-02-28,1989,,,,KANSAS CITY              ,64133     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02348600,,HAZELWOOD BEAUTY COLLEGE                                              ,,MO        ,,,Unknown,1989-12-03,1989,,,,HAZELWOOD                ,63042     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02258500,,INDEPENDENCE MISSOURI PUBLIC SCHOOLS AND HEALTH OCCUP PROGS           ,,MO        ,,,Unknown,1989-07-31,1989,,,,INDEPENDENCE             ,64050     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02211400,,JAY TRUCK DRIVER TRAINING CENTER                                      ,,MO        ,,,Unknown,1989-10-05,1989,,,,ST LOUIS                 ,63120     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02551000,,JAY TRUCK DRIVER TRAINING CENTER                                      ,,MO        ,,,Unknown,1989-10-05,1989,,,,SPRINGFIELD              ,65803     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02499200,,JAY TRUCK DRIVING TRAINING CENTER                                     ,,MO        ,,,Unknown,1989-10-05,1989,,,,LIBERTY                  ,64068     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02607300,,UNITED COLLEGE                                                        ,,MO        ,,,Unknown,1989-10-24,1989,,,,ST. LOUIS                ,63121     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02526200,,VICKSBURG SCHOOL OF COSM                                              ,,MS        ,,,Unknown,1989-02-28,1989,,,,VICKSBURG                ,39180     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02097800,,JOHN ROBERTS POWERS SCHOOL OF FASHION CAREERS                         ,,NC        ,,,Unknown,1989-10-18,1989,,,,RALEIGH                  ,27609     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00508700,,ST JOSEPHS HOSPITAL SCHOOL OF RADIOLOGIC TECHNOLOGY                   ,,ND        ,,,Unknown,1989-06-09,1989,,,,MINOT                    ,58701     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00508300,,UNITED HOSPITAL GRAND FORKS CLINIC PROGRAM IN RADIOLOGIC TECHNOLOGY   ,,ND        ,,,Unknown,1989-11-30,1989,,,,GRAND FORKS              ,58201     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02098600,,QUEEN ANNE BEAUTY SCHOOL                                              ,,NE        ,,,Unknown,1989-01-20,1989,,,,KEARNEY                  ,68847     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00640800,,CONCORD HOSPITAL SCHOOL OF NURSING                                    ,,NH        ,,,Unknown,1989-06-30,1989,,,,CONCORD                  ,03301     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
01118200,,CLIFTON SCHOOL OF BUSINESS                                            ,,NJ        ,,,Unknown,1989-02-03,1989,,,,CLIFTON                  ,07011     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00921900,,ELECTRONIC COMPUTER PROGRAMMING INSTITUTE                             ,,NJ        ,,,Unknown,1989-03-15,1989,,,,PATERSON                 ,07505     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00957400,,ESSEX COLLEGE OF BUSINESS                                             ,,NJ        ,,,Unknown,1989-11-20,1989,,,,NEWARK                   ,07102     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02087300,,FIRST SCHOOL FOR CAREERS                                              ,,NJ        ,,,Unknown,1989-08-17,1989,,,,PASSAIC PARK             ,07055     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02503100,,INTERIOR DESIGN INSTITUTE                                             ,,NJ        ,,,Unknown,1989-11-30,1989,,,,WOODCLIFF LAKE           ,07675     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00855400,,ROBERTS WALSH BUSINESS SCHOOL                                         ,,NJ        ,,,Unknown,1989-08-18,1989,,,,UNION                    ,07083     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02495600,,SAWYER BUSINESS SCHOOL                                                ,,NJ        ,,,Unknown,1989-10-17,1989,,,,NORTH PLAINFIELD         ,07060     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02067500,,WILFRED ACADEMY OF HAIR & BEAUTY CULTURE                              ,,NJ        ,,,Unknown,1989-08-01,1989,,,,TOMS RIVER               ,08753     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00759500,,WILFRED ACADEMY OF HAIR AND BEAUTY CULTURE                            ,,NJ        ,,,Unknown,1989-03-15,1989,,,,PASSAIC                  ,07055     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00912800,,WILFRED ACADEMY OF HAIR AND BEAUTY CULTURE                            ,,NJ        ,,,Unknown,1989-10-17,1989,,,,TRENTON                  ,08648     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02256100,,AMERICAN CAREER SCHOOLS                                               ,,NY        ,,,Unknown,1989-08-18,1989,,,,CENTRAL ISLIP            ,11722     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
02157800,,AMERICAN HI-TECH BUSINESS TECHNOLOGY                                  ,,NY        ,,,Unknown,1989-10-01,1989,,,,NEW YORK                 ,10016     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
00268200,,CATHEDRAL COLLEGE OF THE IMMACULATE CONCEPTION                        ,,NY        ,,,Unknown,1989-08-31,1989,,,,FLUSHING                 ,11362     ,                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
